Start on cuda:0!
22048 examples in training set and 9450 examples in validation set
epoch: 50, epoch_time: 37m25s, train_loss: 0.018, best_loss: 0.018, lr: 0.002, train_mIoU: 0.646, best_train_mIoU: 0.650, valid_mIoU: 0.612, best_valid_mIoU: 0.640
epoch: 51, epoch_time: 37m33s, train_loss: 0.018, best_loss: 0.018, lr: 0.002, train_mIoU: 0.649, best_train_mIoU: 0.650, valid_mIoU: 0.646, best_valid_mIoU: 0.646
epoch: 52, epoch_time: 37m28s, train_loss: 0.018, best_loss: 0.018, lr: 0.002, train_mIoU: 0.649, best_train_mIoU: 0.650, valid_mIoU: 0.634, best_valid_mIoU: 0.646
epoch: 53, epoch_time: 37m28s, train_loss: 0.018, best_loss: 0.018, lr: 0.002, train_mIoU: 0.645, best_train_mIoU: 0.650, valid_mIoU: 0.638, best_valid_mIoU: 0.646
epoch: 54, epoch_time: 37m22s, train_loss: 0.018, best_loss: 0.018, lr: 0.002, train_mIoU: 0.643, best_train_mIoU: 0.650, valid_mIoU: 0.641, best_valid_mIoU: 0.646
epoch: 55, epoch_time: 37m20s, train_loss: 0.018, best_loss: 0.018, lr: 0.002, train_mIoU: 0.646, best_train_mIoU: 0.650, valid_mIoU: 0.630, best_valid_mIoU: 0.646
epoch: 56, epoch_time: 37m13s, train_loss: 0.018, best_loss: 0.018, lr: 0.002, train_mIoU: 0.646, best_train_mIoU: 0.650, valid_mIoU: 0.596, best_valid_mIoU: 0.646
epoch: 57, epoch_time: 37m20s, train_loss: 0.018, best_loss: 0.018, lr: 0.002, train_mIoU: 0.645, best_train_mIoU: 0.650, valid_mIoU: 0.636, best_valid_mIoU: 0.646
epoch: 58, epoch_time: 37m16s, train_loss: 0.018, best_loss: 0.018, lr: 0.002, train_mIoU: 0.641, best_train_mIoU: 0.650, valid_mIoU: 0.633, best_valid_mIoU: 0.646
epoch: 59, epoch_time: 37m16s, train_loss: 0.018, best_loss: 0.018, lr: 0.002, train_mIoU: 0.642, best_train_mIoU: 0.650, valid_mIoU: 0.644, best_valid_mIoU: 0.646
epoch: 60, epoch_time: 37m28s, train_loss: 0.018, best_loss: 0.018, lr: 0.002, train_mIoU: 0.641, best_train_mIoU: 0.650, valid_mIoU: 0.641, best_valid_mIoU: 0.646
epoch: 61, epoch_time: 37m31s, train_loss: 0.018, best_loss: 0.018, lr: 0.002, train_mIoU: 0.645, best_train_mIoU: 0.650, valid_mIoU: 0.601, best_valid_mIoU: 0.646
epoch: 62, epoch_time: 37m16s, train_loss: 0.018, best_loss: 0.018, lr: 0.002, train_mIoU: 0.644, best_train_mIoU: 0.650, valid_mIoU: 0.641, best_valid_mIoU: 0.646
epoch: 63, epoch_time: 37m14s, train_loss: 0.018, best_loss: 0.018, lr: 0.002, train_mIoU: 0.645, best_train_mIoU: 0.650, valid_mIoU: 0.643, best_valid_mIoU: 0.646
epoch: 64, epoch_time: 37m19s, train_loss: 0.018, best_loss: 0.018, lr: 0.002, train_mIoU: 0.643, best_train_mIoU: 0.650, valid_mIoU: 0.618, best_valid_mIoU: 0.646
epoch: 65, epoch_time: 37m31s, train_loss: 0.018, best_loss: 0.018, lr: 0.002, train_mIoU: 0.646, best_train_mIoU: 0.650, valid_mIoU: 0.584, best_valid_mIoU: 0.646
epoch: 66, epoch_time: 37m48s, train_loss: 0.018, best_loss: 0.018, lr: 0.002, train_mIoU: 0.645, best_train_mIoU: 0.650, valid_mIoU: 0.618, best_valid_mIoU: 0.646
epoch: 67, epoch_time: 37m41s, train_loss: 0.018, best_loss: 0.018, lr: 0.002, train_mIoU: 0.641, best_train_mIoU: 0.650, valid_mIoU: 0.582, best_valid_mIoU: 0.646
epoch: 68, epoch_time: 37m30s, train_loss: 0.018, best_loss: 0.018, lr: 0.002, train_mIoU: 0.643, best_train_mIoU: 0.650, valid_mIoU: 0.600, best_valid_mIoU: 0.646
epoch: 69, epoch_time: 37m18s, train_loss: 0.018, best_loss: 0.018, lr: 0.002, train_mIoU: 0.645, best_train_mIoU: 0.650, valid_mIoU: 0.631, best_valid_mIoU: 0.646
epoch: 70, epoch_time: 37m16s, train_loss: 0.018, best_loss: 0.018, lr: 0.002, train_mIoU: 0.645, best_train_mIoU: 0.650, valid_mIoU: 0.610, best_valid_mIoU: 0.646
epoch: 71, epoch_time: 40m29s, train_loss: 0.018, best_loss: 0.018, lr: 0.002, train_mIoU: 0.647, best_train_mIoU: 0.650, valid_mIoU: 0.606, best_valid_mIoU: 0.646
epoch: 72, epoch_time: 37m17s, train_loss: 0.018, best_loss: 0.018, lr: 0.002, train_mIoU: 0.644, best_train_mIoU: 0.650, valid_mIoU: 0.602, best_valid_mIoU: 0.646
epoch: 73, epoch_time: 37m34s, train_loss: 0.018, best_loss: 0.018, lr: 0.002, train_mIoU: 0.643, best_train_mIoU: 0.650, valid_mIoU: 0.595, best_valid_mIoU: 0.646
epoch: 74, epoch_time: 37m25s, train_loss: 0.018, best_loss: 0.018, lr: 0.002, train_mIoU: 0.647, best_train_mIoU: 0.650, valid_mIoU: 0.605, best_valid_mIoU: 0.646
epoch: 75, epoch_time: 37m17s, train_loss: 0.018, best_loss: 0.018, lr: 0.002, train_mIoU: 0.643, best_train_mIoU: 0.650, valid_mIoU: 0.625, best_valid_mIoU: 0.646
